Instance,class,Pred_class,Matches,gre,gpa,rank,x,y,Mix,class_new
497,,,Match,,,,-0.620679784,0.417810165,,
498,,,Match,,,,-0.620679784,0.459724036,,
499,,,Match,,,,-0.620679784,0.501637907,,
500,,,Match,,,,-0.620679784,0.543551778,,
501,,,Match,,,,-0.620679784,0.585465649,,
502,,,Match,,,,-0.620679784,0.62737952,,
503,,,Match,,,,-0.620679784,0.669293391,,
504,,,Match,,,,-0.620679784,0.711207262,,
505,,,Match,,,,-0.620679784,0.753121133,,
506,,,Match,,,,-0.578765913,-0.713864352,,
507,,,Match,,,,-0.578765913,-0.671950481,,
508,,,Match,,,,-0.578765913,-0.63003661,,
509,,,Match,,,,-0.578765913,-0.588122739,,
510,,,Match,,,,-0.578765913,-0.546208868,,
511,,,Match,,,,-0.578765913,-0.504294997,,
512,,,Match,,,,-0.578765913,-0.462381126,,
513,,,Match,,,,-0.578765913,-0.420467255,,
514,,,Match,,,,-0.578765913,-0.336639513,,
515,,,Match,,,,-0.578765913,0.082499197,,
516,,,Match,,,,-0.578765913,0.124413068,,
517,,,Match,,,,-0.578765913,0.375896294,,
518,,,Match,,,,-0.578765913,0.501637907,,
519,,,Match,,,,-0.578765913,0.543551778,,
520,,,Match,,,,-0.578765913,0.585465649,,
521,,,Match,,,,-0.578765913,0.62737952,,
522,,,Match,,,,-0.578765913,0.669293391,,
523,,,Match,,,,-0.578765913,0.711207262,,
524,,,Match,,,,-0.578765913,0.753121133,,
525,,,Match,,,,-0.536852042,-0.713864352,,
526,,,Match,,,,-0.536852042,-0.671950481,,
527,,,Match,,,,-0.536852042,-0.63003661,,
528,,,Match,,,,-0.536852042,-0.588122739,,
529,,,Match,,,,-0.536852042,-0.546208868,,
530,,,Match,,,,-0.536852042,-0.504294997,,
531,,,Match,,,,-0.536852042,-0.462381126,,
532,,,Match,,,,-0.536852042,-0.168984029,,
533,,,Match,,,,-0.536852042,-0.085156287,,
534,,,Match,,,,-0.536852042,0.124413068,,
535,,,Match,,,,-0.536852042,0.375896294,,
536,,,Match,,,,-0.536852042,0.543551778,,
537,,,Match,,,,-0.536852042,0.585465649,,
538,,,Match,,,,-0.536852042,0.62737952,,
539,,,Match,,,,-0.536852042,0.669293391,,
540,,,Match,,,,-0.536852042,0.711207262,,
541,,,Match,,,,-0.536852042,0.753121133,,
542,,,Match,,,,-0.494938171,-0.713864352,,
543,,,Match,,,,-0.494938171,-0.671950481,,
544,,,Match,,,,-0.494938171,-0.63003661,,
545,,,Match,,,,-0.494938171,-0.588122739,,
546,,,Match,,,,-0.494938171,-0.546208868,,
547,,,Match,,,,-0.494938171,-0.504294997,,
548,,,Match,,,,-0.494938171,-0.294725642,,
549,,,Match,,,,-0.494938171,-0.168984029,,
550,,,Match,,,,-0.494938171,0.082499197,,
551,,,Match,,,,-0.494938171,0.124413068,,
552,,,Match,,,,-0.494938171,0.166326939,,
553,,,Match,,,,-0.494938171,0.20824081,,
554,,,Match,,,,-0.494938171,0.250154681,,
555,,,Match,,,,-0.494938171,0.501637907,,
556,,,Match,,,,-0.494938171,0.585465649,,
557,,,Match,,,,-0.494938171,0.62737952,,
558,,,Match,,,,-0.494938171,0.669293391,,
559,,,Match,,,,-0.494938171,0.711207262,,
560,,,Match,,,,-0.494938171,0.753121133,,
561,,,Match,,,,-0.4530243,-0.713864352,,
562,,,Match,,,,-0.4530243,-0.671950481,,
563,,,Match,,,,-0.4530243,-0.63003661,,
564,,,Match,,,,-0.4530243,-0.588122739,,
565,,,Match,,,,-0.4530243,-0.546208868,,
566,,,Match,,,,-0.4530243,-0.504294997,,
567,,,Match,,,,-0.4530243,-0.294725642,,
568,,,Match,,,,-0.4530243,-0.252811771,,
569,,,Match,,,,-0.4530243,-0.2108979,,
570,,,Match,,,,-0.4530243,-0.168984029,,
571,,,Match,,,,-0.4530243,-0.127070158,,
572,,,Match,,,,-0.4530243,-0.085156287,,
573,,,Match,,,,-0.4530243,-0.043242416,,
574,,,Match,,,,-0.4530243,0.040585326,,
575,,,Match,,,,-0.4530243,0.082499197,,
576,,,Match,,,,-0.4530243,0.166326939,,
577,,,Match,,,,-0.4530243,0.20824081,,
578,,,Match,,,,-0.4530243,0.375896294,,
579,,,Match,,,,-0.4530243,0.417810165,,
580,,,Match,,,,-0.4530243,0.459724036,,
581,,,Match,,,,-0.4530243,0.501637907,,
582,,,Match,,,,-0.4530243,0.711207262,,
583,,,Match,,,,-0.4530243,0.753121133,,
584,,,Match,,,,-0.411110429,-0.713864352,,
585,,,Match,,,,-0.411110429,-0.671950481,,
586,,,Match,,,,-0.411110429,-0.63003661,,
587,,,Match,,,,-0.411110429,-0.588122739,,
588,,,Match,,,,-0.411110429,-0.546208868,,
589,,,Match,,,,-0.411110429,-0.504294997,,
590,,,Match,,,,-0.411110429,-0.294725642,,
591,,,Match,,,,-0.411110429,-0.168984029,,
592,,,Match,,,,-0.411110429,-0.127070158,,
593,,,Match,,,,-0.411110429,-0.085156287,,
594,,,Match,,,,-0.411110429,0.166326939,,
595,,,Match,,,,-0.411110429,0.20824081,,
596,,,Match,,,,-0.411110429,0.375896294,,
597,,,Match,,,,-0.411110429,0.417810165,,
598,,,Match,,,,-0.411110429,0.459724036,,
599,,,Match,,,,-0.411110429,0.711207262,,
600,,,Match,,,,-0.411110429,0.753121133,,
601,,,Match,,,,-0.369196558,-0.713864352,,
602,,,Match,,,,-0.369196558,-0.671950481,,
603,,,Match,,,,-0.369196558,-0.63003661,,
604,,,Match,,,,-0.369196558,-0.588122739,,
605,,,Match,,,,-0.369196558,-0.546208868,,
606,,,Match,,,,-0.369196558,-0.504294997,,
607,,,Match,,,,-0.369196558,-0.336639513,,
608,,,Match,,,,-0.369196558,-0.168984029,,
609,,,Match,,,,-0.369196558,-0.127070158,,
610,,,Match,,,,-0.369196558,-0.085156287,,
611,,,Match,,,,-0.369196558,0.040585326,,
612,,,Match,,,,-0.369196558,0.543551778,,
613,,,Match,,,,-0.369196558,0.585465649,,
614,,,Match,,,,-0.369196558,0.62737952,,
615,,,Match,,,,-0.369196558,0.669293391,,
616,,,Match,,,,-0.369196558,0.711207262,,
617,,,Match,,,,-0.369196558,0.753121133,,
618,,,Match,,,,-0.327282687,-0.713864352,,
619,,,Match,,,,-0.327282687,-0.671950481,,
620,,,Match,,,,-0.327282687,-0.63003661,,
621,,,Match,,,,-0.327282687,-0.336639513,,
622,,,Match,,,,-0.327282687,-0.2108979,,
623,,,Match,,,,-0.327282687,-0.168984029,,
624,,,Match,,,,-0.327282687,-0.127070158,,
625,,,Match,,,,-0.327282687,-0.085156287,,
626,,,Match,,,,-0.327282687,-0.043242416,,
627,,,Match,,,,-0.327282687,-0.001328545,,
628,,,Match,,,,-0.327282687,0.040585326,,
629,,,Match,,,,-0.327282687,0.082499197,,
630,,,Match,,,,-0.327282687,0.375896294,,
631,,,Match,,,,-0.327282687,0.543551778,,
632,,,Match,,,,-0.327282687,0.585465649,,
633,,,Match,,,,-0.327282687,0.62737952,,
634,,,Match,,,,-0.327282687,0.753121133,,
635,,,Match,,,,-0.285368816,-0.63003661,,
636,,,Match,,,,-0.285368816,-0.588122739,,
637,,,Match,,,,-0.285368816,-0.378553384,,
638,,,Match,,,,-0.285368816,-0.336639513,,
639,,,Match,,,,-0.285368816,-0.294725642,,
640,,,Match,,,,-0.285368816,-0.252811771,,
641,,,Match,,,,-0.285368816,-0.2108979,,
642,,,Match,,,,-0.285368816,-0.168984029,,
643,,,Match,,,,-0.285368816,-0.127070158,,
644,,,Match,,,,-0.285368816,-0.085156287,,
645,,,Match,,,,-0.285368816,-0.043242416,,
646,,,Match,,,,-0.285368816,-0.001328545,,
647,,,Match,,,,-0.285368816,0.040585326,,
648,,,Match,,,,-0.285368816,0.082499197,,
649,,,Match,,,,-0.285368816,0.20824081,,
650,,,Match,,,,-0.285368816,0.250154681,,
651,,,Match,,,,-0.285368816,0.375896294,,
652,,,Match,,,,-0.285368816,0.417810165,,
653,,,Match,,,,-0.285368816,0.459724036,,
654,,,Match,,,,-0.285368816,0.501637907,,
655,,,Match,,,,-0.285368816,0.543551778,,
656,,,Match,,,,-0.285368816,0.585465649,,
657,,,Match,,,,-0.285368816,0.62737952,,
658,,,Match,,,,-0.243454945,-0.63003661,,
659,,,Match,,,,-0.243454945,-0.588122739,,
660,,,Match,,,,-0.243454945,-0.546208868,,
661,,,Match,,,,-0.243454945,-0.378553384,,
662,,,Match,,,,-0.243454945,-0.336639513,,
663,,,Match,,,,-0.243454945,-0.294725642,,
664,,,Match,,,,-0.243454945,-0.252811771,,
665,,,Match,,,,-0.243454945,-0.127070158,,
666,,,Match,,,,-0.243454945,-0.085156287,,
667,,,Match,,,,-0.243454945,-0.043242416,,
668,,,Match,,,,-0.243454945,-0.001328545,,
669,,,Match,,,,-0.243454945,0.040585326,,
670,,,Match,,,,-0.243454945,0.082499197,,
671,,,Match,,,,-0.243454945,0.124413068,,
672,,,Match,,,,-0.243454945,0.166326939,,
673,,,Match,,,,-0.243454945,0.20824081,,
674,,,Match,,,,-0.243454945,0.250154681,,
675,,,Match,,,,-0.243454945,0.292068552,,
676,,,Match,,,,-0.243454945,0.333982423,,
677,,,Match,,,,-0.243454945,0.375896294,,
678,,,Match,,,,-0.243454945,0.417810165,,
679,,,Match,,,,-0.243454945,0.459724036,,
680,,,Match,,,,-0.243454945,0.501637907,,
681,,,Match,,,,-0.243454945,0.543551778,,
682,,,Match,,,,-0.201541074,-0.63003661,,
683,,,Match,,,,-0.201541074,-0.588122739,,
684,,,Match,,,,-0.201541074,-0.420467255,,
685,,,Match,,,,-0.201541074,-0.378553384,,
686,,,Match,,,,-0.201541074,-0.336639513,,
687,,,Match,,,,-0.201541074,-0.294725642,,
688,,,Match,,,,-0.201541074,-0.252811771,,
689,,,Match,,,,-0.201541074,-0.168984029,,
690,,,Match,,,,-0.201541074,-0.127070158,,
691,,,Match,,,,-0.201541074,-0.085156287,,
692,,,Match,,,,-0.201541074,-0.043242416,,
693,,,Match,,,,-0.201541074,-0.001328545,,
694,,,Match,,,,-0.201541074,0.040585326,,
695,,,Match,,,,-0.201541074,0.082499197,,
696,,,Match,,,,-0.201541074,0.124413068,,
697,,,Match,,,,-0.201541074,0.166326939,,
698,,,Match,,,,-0.201541074,0.20824081,,
699,,,Match,,,,-0.201541074,0.250154681,,
700,,,Match,,,,-0.201541074,0.292068552,,
701,,,Match,,,,-0.201541074,0.333982423,,
702,,,Match,,,,-0.201541074,0.375896294,,
703,,,Match,,,,-0.201541074,0.417810165,,
704,,,Match,,,,-0.201541074,0.62737952,,
705,,,Match,,,,-0.201541074,0.669293391,,
706,,,Match,,,,-0.159627203,-0.671950481,,
707,,,Match,,,,-0.159627203,-0.63003661,,
708,,,Match,,,,-0.159627203,-0.588122739,,
709,,,Match,,,,-0.159627203,-0.546208868,,
710,,,Match,,,,-0.159627203,-0.420467255,,
711,,,Match,,,,-0.159627203,-0.378553384,,
712,,,Match,,,,-0.159627203,-0.252811771,,
713,,,Match,,,,-0.159627203,-0.2108979,,
714,,,Match,,,,-0.159627203,-0.168984029,,
715,,,Match,,,,-0.159627203,-0.127070158,,
716,,,Match,,,,-0.159627203,-0.085156287,,
717,,,Match,,,,-0.159627203,-0.043242416,,
718,,,Match,,,,-0.159627203,-0.001328545,,
719,,,Match,,,,-0.159627203,0.124413068,,
720,,,Match,,,,-0.159627203,0.166326939,,
721,,,Match,,,,-0.159627203,0.292068552,,
722,,,Match,,,,-0.159627203,0.543551778,,
723,,,Match,,,,-0.159627203,0.585465649,,
724,,,Match,,,,-0.159627203,0.62737952,,
725,,,Match,,,,-0.159627203,0.669293391,,
726,,,Match,,,,-0.159627203,0.711207262,,
727,,,Match,,,,-0.159627203,0.753121133,,
728,,,Match,,,,-0.117713332,-0.713864352,,
729,,,Match,,,,-0.117713332,-0.671950481,,
730,,,Match,,,,-0.117713332,-0.588122739,,
731,,,Match,,,,-0.117713332,-0.546208868,,
732,,,Match,,,,-0.117713332,-0.504294997,,
733,,,Match,,,,-0.117713332,-0.462381126,,
734,,,Match,,,,-0.117713332,-0.420467255,,
735,,,Match,,,,-0.117713332,-0.378553384,,
736,,,Match,,,,-0.117713332,-0.252811771,,
737,,,Match,,,,-0.117713332,-0.2108979,,
738,,,Match,,,,-0.117713332,-0.168984029,,
739,,,Match,,,,-0.117713332,-0.127070158,,
740,,,Match,,,,-0.117713332,-0.085156287,,
741,,,Match,,,,-0.117713332,0.124413068,,
742,,,Match,,,,-0.117713332,0.166326939,,
743,,,Match,,,,-0.117713332,0.292068552,,
744,,,Match,,,,-0.117713332,0.459724036,,
745,,,Match,,,,-0.117713332,0.501637907,,
746,,,Match,,,,-0.117713332,0.543551778,,
747,,,Match,,,,-0.117713332,0.585465649,,
748,,,Match,,,,-0.117713332,0.62737952,,
749,,,Match,,,,-0.117713332,0.669293391,,
750,,,Match,,,,-0.075799461,-0.713864352,,
751,,,Match,,,,-0.075799461,-0.546208868,,
752,,,Match,,,,-0.075799461,-0.504294997,,
753,,,Match,,,,-0.075799461,-0.462381126,,
754,,,Match,,,,-0.075799461,-0.420467255,,
755,,,Match,,,,-0.075799461,-0.378553384,,
756,,,Match,,,,-0.075799461,-0.336639513,,
757,,,Match,,,,-0.075799461,-0.252811771,,
758,,,Match,,,,-0.075799461,-0.2108979,,
759,,,Match,,,,-0.075799461,-0.168984029,,
760,,,Match,,,,-0.075799461,-0.127070158,,
761,,,Match,,,,-0.075799461,0.082499197,,
762,,,Match,,,,-0.075799461,0.124413068,,
763,,,Match,,,,-0.075799461,0.166326939,,
764,,,Match,,,,-0.075799461,0.20824081,,
765,,,Match,,,,-0.075799461,0.250154681,,
766,,,Match,,,,-0.075799461,0.292068552,,
767,,,Match,,,,-0.075799461,0.333982423,,
768,,,Match,,,,-0.075799461,0.375896294,,
769,,,Match,,,,-0.075799461,0.417810165,,
770,,,Match,,,,-0.075799461,0.459724036,,
771,,,Match,,,,-0.075799461,0.501637907,,
772,,,Match,,,,-0.075799461,0.543551778,,
773,,,Match,,,,-0.075799461,0.585465649,,
774,,,Match,,,,-0.075799461,0.62737952,,
775,,,Match,,,,-0.075799461,0.669293391,,
776,,,Match,,,,-0.03388559,-0.671950481,,
777,,,Match,,,,-0.03388559,-0.546208868,,
778,,,Match,,,,-0.03388559,-0.504294997,,
779,,,Match,,,,-0.03388559,-0.462381126,,
780,,,Match,,,,-0.03388559,-0.420467255,,
781,,,Match,,,,-0.03388559,-0.378553384,,
782,,,Match,,,,-0.03388559,-0.336639513,,
783,,,Match,,,,-0.03388559,-0.2108979,,
784,,,Match,,,,-0.03388559,-0.168984029,,
785,,,Match,,,,-0.03388559,-0.127070158,,
786,,,Match,,,,-0.03388559,-0.001328545,,
787,,,Match,,,,-0.03388559,0.040585326,,
788,,,Match,,,,-0.03388559,0.082499197,,
789,,,Match,,,,-0.03388559,0.124413068,,
790,,,Match,,,,-0.03388559,0.166326939,,
791,,,Match,,,,-0.03388559,0.20824081,,
792,,,Match,,,,-0.03388559,0.250154681,,
793,,,Match,,,,-0.03388559,0.292068552,,
794,,,Match,,,,-0.03388559,0.333982423,,
795,,,Match,,,,-0.03388559,0.375896294,,
796,,,Match,,,,-0.03388559,0.501637907,,
797,,,Match,,,,-0.03388559,0.543551778,,
798,,,Match,,,,-0.03388559,0.585465649,,
799,,,Match,,,,-0.03388559,0.62737952,,
800,,,Match,,,,0.008028281,-0.588122739,,
801,,,Match,,,,0.008028281,-0.546208868,,
802,,,Match,,,,0.008028281,-0.504294997,,
803,,,Match,,,,0.008028281,-0.462381126,,
804,,,Match,,,,0.008028281,-0.420467255,,
805,,,Match,,,,0.008028281,-0.378553384,,
806,,,Match,,,,0.008028281,-0.336639513,,
807,,,Match,,,,0.008028281,-0.294725642,,
808,,,Match,,,,0.008028281,-0.252811771,,
809,,,Match,,,,0.008028281,-0.2108979,,
810,,,Match,,,,0.008028281,-0.168984029,,
811,,,Match,,,,0.008028281,-0.127070158,,
812,,,Match,,,,0.008028281,-0.085156287,,
813,,,Match,,,,0.008028281,-0.043242416,,
814,,,Match,,,,0.008028281,-0.001328545,,
815,,,Match,,,,0.008028281,0.040585326,,
816,,,Match,,,,0.008028281,0.082499197,,
817,,,Match,,,,0.008028281,0.124413068,,
818,,,Match,,,,0.008028281,0.166326939,,
819,,,Match,,,,0.008028281,0.20824081,,
820,,,Match,,,,0.008028281,0.250154681,,
821,,,Match,,,,0.008028281,0.292068552,,
822,,,Match,,,,0.008028281,0.333982423,,
823,,,Match,,,,0.008028281,0.375896294,,
824,,,Match,,,,0.008028281,0.501637907,,
825,,,Match,,,,0.008028281,0.543551778,,
826,,,Match,,,,0.008028281,0.585465649,,
827,,,Match,,,,0.008028281,0.62737952,,
828,,,Match,,,,0.008028281,0.669293391,,
829,,,Match,,,,0.049942152,-0.588122739,,
830,,,Match,,,,0.049942152,-0.546208868,,
831,,,Match,,,,0.049942152,-0.504294997,,
832,,,Match,,,,0.049942152,-0.462381126,,
833,,,Match,,,,0.049942152,-0.420467255,,
834,,,Match,,,,0.049942152,-0.378553384,,
835,,,Match,,,,0.049942152,-0.336639513,,
836,,,Match,,,,0.049942152,-0.294725642,,
837,,,Match,,,,0.049942152,-0.252811771,,
838,,,Match,,,,0.049942152,-0.2108979,,
839,,,Match,,,,0.049942152,-0.168984029,,
840,,,Match,,,,0.049942152,-0.127070158,,
841,,,Match,,,,0.049942152,-0.085156287,,
842,,,Match,,,,0.049942152,-0.043242416,,
843,,,Match,,,,0.049942152,-0.001328545,,
844,,,Match,,,,0.049942152,0.040585326,,
845,,,Match,,,,0.049942152,0.082499197,,
846,,,Match,,,,0.049942152,0.124413068,,
847,,,Match,,,,0.049942152,0.166326939,,
848,,,Match,,,,0.049942152,0.20824081,,
849,,,Match,,,,0.049942152,0.250154681,,
850,,,Match,,,,0.049942152,0.292068552,,
851,,,Match,,,,0.049942152,0.333982423,,
852,,,Match,,,,0.049942152,0.375896294,,
853,,,Match,,,,0.049942152,0.543551778,,
854,,,Match,,,,0.049942152,0.585465649,,
855,,,Match,,,,0.091856023,-0.588122739,,
856,,,Match,,,,0.091856023,-0.546208868,,
857,,,Match,,,,0.091856023,-0.504294997,,
858,,,Match,,,,0.091856023,-0.462381126,,
859,,,Match,,,,0.091856023,-0.420467255,,
860,,,Match,,,,0.091856023,-0.378553384,,
861,,,Match,,,,0.091856023,-0.336639513,,
862,,,Match,,,,0.091856023,-0.294725642,,
863,,,Match,,,,0.091856023,-0.252811771,,
864,,,Match,,,,0.091856023,-0.2108979,,
865,,,Match,,,,0.091856023,-0.168984029,,
866,,,Match,,,,0.091856023,-0.127070158,,
867,,,Match,,,,0.091856023,-0.085156287,,
868,,,Match,,,,0.091856023,-0.043242416,,
869,,,Match,,,,0.091856023,-0.001328545,,
870,,,Match,,,,0.091856023,0.040585326,,
871,,,Match,,,,0.091856023,0.082499197,,
872,,,Match,,,,0.091856023,0.124413068,,
873,,,Match,,,,0.091856023,0.166326939,,
874,,,Match,,,,0.091856023,0.20824081,,
875,,,Match,,,,0.091856023,0.250154681,,
876,,,Match,,,,0.091856023,0.292068552,,
877,,,Match,,,,0.091856023,0.333982423,,
878,,,Match,,,,0.091856023,0.543551778,,
879,,,Match,,,,0.091856023,0.585465649,,
880,,,Match,,,,0.133769894,-0.588122739,,
881,,,Match,,,,0.133769894,-0.546208868,,
882,,,Match,,,,0.133769894,-0.504294997,,
883,,,Match,,,,0.133769894,-0.462381126,,
884,,,Match,,,,0.133769894,-0.420467255,,
885,,,Match,,,,0.133769894,-0.378553384,,
886,,,Match,,,,0.133769894,-0.336639513,,
887,,,Match,,,,0.133769894,-0.294725642,,
888,,,Match,,,,0.133769894,-0.252811771,,
889,,,Match,,,,0.133769894,-0.2108979,,
890,,,Match,,,,0.133769894,-0.168984029,,
891,,,Match,,,,0.133769894,-0.127070158,,
892,,,Match,,,,0.133769894,-0.085156287,,
893,,,Match,,,,0.133769894,-0.043242416,,
894,,,Match,,,,0.133769894,-0.001328545,,
895,,,Match,,,,0.133769894,0.040585326,,
896,,,Match,,,,0.133769894,0.082499197,,
897,,,Match,,,,0.133769894,0.124413068,,
898,,,Match,,,,0.133769894,0.166326939,,
899,,,Match,,,,0.133769894,0.20824081,,
900,,,Match,,,,0.133769894,0.417810165,,
901,,,Match,,,,0.133769894,0.501637907,,
902,,,Match,,,,0.133769894,0.543551778,,
903,,,Match,,,,0.133769894,0.585465649,,
904,,,Match,,,,0.133769894,0.62737952,,
905,,,Match,,,,0.175683765,-0.713864352,,
906,,,Match,,,,0.175683765,-0.671950481,,
907,,,Match,,,,0.175683765,-0.63003661,,
908,,,Match,,,,0.175683765,-0.588122739,,
909,,,Match,,,,0.175683765,-0.546208868,,
910,,,Match,,,,0.175683765,-0.504294997,,
911,,,Match,,,,0.175683765,-0.462381126,,
912,,,Match,,,,0.175683765,-0.420467255,,
913,,,Match,,,,0.175683765,-0.378553384,,
914,,,Match,,,,0.175683765,-0.336639513,,
915,,,Match,,,,0.175683765,-0.294725642,,
916,,,Match,,,,0.175683765,-0.252811771,,
917,,,Match,,,,0.175683765,-0.2108979,,
918,,,Match,,,,0.175683765,-0.168984029,,
919,,,Match,,,,0.175683765,-0.127070158,,
920,,,Match,,,,0.175683765,-0.085156287,,
921,,,Match,,,,0.175683765,-0.001328545,,
922,,,Match,,,,0.175683765,0.040585326,,
923,,,Match,,,,0.175683765,0.166326939,,
924,,,Match,,,,0.175683765,0.20824081,,
925,,,Match,,,,0.175683765,0.501637907,,
926,,,Match,,,,0.175683765,0.543551778,,
927,,,Match,,,,0.175683765,0.585465649,,
928,,,Match,,,,0.175683765,0.62737952,,
929,,,Match,,,,0.217597636,-0.63003661,,
930,,,Match,,,,0.217597636,-0.588122739,,
931,,,Match,,,,0.217597636,-0.546208868,,
932,,,Match,,,,0.217597636,-0.504294997,,
933,,,Match,,,,0.217597636,-0.462381126,,
934,,,Match,,,,0.217597636,-0.420467255,,
935,,,Match,,,,0.217597636,-0.294725642,,
936,,,Match,,,,0.217597636,-0.252811771,,
937,,,Match,,,,0.217597636,-0.2108979,,
938,,,Match,,,,0.217597636,-0.168984029,,
939,,,Match,,,,0.217597636,-0.127070158,,
940,,,Match,,,,0.217597636,0.250154681,,
941,,,Match,,,,0.217597636,0.501637907,,
942,,,Match,,,,0.217597636,0.543551778,,
943,,,Match,,,,0.217597636,0.585465649,,
944,,,Match,,,,0.217597636,0.62737952,,
945,,,Match,,,,0.217597636,0.669293391,,
946,,,Match,,,,0.259511507,-0.63003661,,
947,,,Match,,,,0.259511507,-0.588122739,,
948,,,Match,,,,0.259511507,-0.546208868,,
949,,,Match,,,,0.259511507,-0.504294997,,
950,,,Match,,,,0.259511507,-0.462381126,,
951,,,Match,,,,0.259511507,-0.420467255,,
952,,,Match,,,,0.259511507,-0.294725642,,
953,,,Match,,,,0.259511507,-0.252811771,,
954,,,Match,,,,0.259511507,-0.2108979,,
955,,,Match,,,,0.259511507,-0.168984029,,
956,,,Match,,,,0.259511507,-0.127070158,,
957,,,Match,,,,0.259511507,0.417810165,,
958,,,Match,,,,0.259511507,0.501637907,,
959,,,Match,,,,0.259511507,0.543551778,,
960,,,Match,,,,0.259511507,0.585465649,,
961,,,Match,,,,0.301425378,-0.671950481,,
962,,,Match,,,,0.301425378,-0.63003661,,
963,,,Match,,,,0.301425378,-0.588122739,,
964,,,Match,,,,0.301425378,-0.546208868,,
965,,,Match,,,,0.301425378,-0.504294997,,
966,,,Match,,,,0.301425378,-0.462381126,,
967,,,Match,,,,0.301425378,-0.420467255,,
968,,,Match,,,,0.301425378,-0.378553384,,
969,,,Match,,,,0.301425378,-0.336639513,,
970,,,Match,,,,0.301425378,-0.294725642,,
971,,,Match,,,,0.301425378,-0.252811771,,
972,,,Match,,,,0.301425378,-0.2108979,,
973,,,Match,,,,0.301425378,-0.085156287,,
974,,,Match,,,,0.301425378,-0.043242416,,
975,,,Match,,,,0.301425378,0.124413068,,
976,,,Match,,,,0.301425378,0.20824081,,
977,,,Match,,,,0.301425378,0.333982423,,
978,,,Match,,,,0.301425378,0.375896294,,
979,,,Match,,,,0.301425378,0.417810165,,
980,,,Match,,,,0.301425378,0.459724036,,
981,,,Match,,,,0.301425378,0.501637907,,
982,,,Match,,,,0.301425378,0.669293391,,
983,,,Match,,,,0.301425378,0.711207262,,
984,,,Match,,,,0.301425378,0.753121133,,
985,,,Match,,,,0.343339249,-0.671950481,,
986,,,Match,,,,0.343339249,-0.63003661,,
987,,,Match,,,,0.343339249,-0.588122739,,
988,,,Match,,,,0.343339249,-0.546208868,,
989,,,Match,,,,0.343339249,-0.420467255,,
990,,,Match,,,,0.343339249,-0.378553384,,
991,,,Match,,,,0.343339249,-0.336639513,,
992,,,Match,,,,0.343339249,-0.294725642,,
993,,,Match,,,,0.343339249,-0.252811771,,
994,,,Match,,,,0.343339249,-0.2108979,,
995,,,Match,,,,0.343339249,0.040585326,,
996,,,Match,,,,0.343339249,0.082499197,,
997,,,Match,,,,0.343339249,0.124413068,,
998,,,Match,,,,0.343339249,0.166326939,,
999,,,Match,,,,0.343339249,0.20824081,,
1000,,,Match,,,,0.343339249,0.250154681,,
1001,,,Match,,,,0.343339249,0.292068552,,
1002,,,Match,,,,0.343339249,0.333982423,,
1003,,,Match,,,,0.343339249,0.375896294,,
1004,,,Match,,,,0.343339249,0.417810165,,
1005,,,Match,,,,0.343339249,0.459724036,,
1006,,,Match,,,,0.343339249,0.62737952,,
1007,,,Match,,,,0.343339249,0.669293391,,
1008,,,Match,,,,0.343339249,0.711207262,,
1009,,,Match,,,,0.343339249,0.753121133,,
1010,,,Match,,,,0.38525312,-0.713864352,,
1011,,,Match,,,,0.38525312,-0.671950481,,
1012,,,Match,,,,0.38525312,-0.63003661,,
1013,,,Match,,,,0.38525312,-0.588122739,,
1014,,,Match,,,,0.38525312,-0.546208868,,
1015,,,Match,,,,0.38525312,-0.2108979,,
1016,,,Match,,,,0.38525312,-0.043242416,,
1017,,,Match,,,,0.38525312,0.166326939,,
1018,,,Match,,,,0.38525312,0.20824081,,
1019,,,Match,,,,0.38525312,0.250154681,,
1020,,,Match,,,,0.38525312,0.292068552,,
1021,,,Match,,,,0.38525312,0.333982423,,
1022,,,Match,,,,0.38525312,0.375896294,,
1023,,,Match,,,,0.38525312,0.417810165,,
1024,,,Match,,,,0.38525312,0.459724036,,
1025,,,Match,,,,0.38525312,0.62737952,,
1026,,,Match,,,,0.38525312,0.669293391,,
1027,,,Match,,,,0.38525312,0.711207262,,
1028,,,Match,,,,0.38525312,0.753121133,,
1029,,,Match,,,,0.427166991,-0.713864352,,
1030,,,Match,,,,0.427166991,-0.588122739,,
1031,,,Match,,,,0.427166991,-0.546208868,,
1032,,,Match,,,,0.427166991,-0.085156287,,
1033,,,Match,,,,0.427166991,-0.043242416,,
1034,,,Match,,,,0.427166991,-0.001328545,,
1035,,,Match,,,,0.427166991,0.166326939,,
1036,,,Match,,,,0.427166991,0.20824081,,
1037,,,Match,,,,0.427166991,0.250154681,,
1038,,,Match,,,,0.427166991,0.375896294,,
1039,,,Match,,,,0.427166991,0.585465649,,
1040,,,Match,,,,0.427166991,0.669293391,,
1041,,,Match,,,,0.427166991,0.711207262,,
1042,,,Match,,,,0.427166991,0.753121133,,
1043,,,Match,,,,0.469080862,-0.713864352,,
1044,,,Match,,,,0.469080862,-0.588122739,,
1045,,,Match,,,,0.469080862,-0.546208868,,
1046,,,Match,,,,0.469080862,-0.168984029,,
1047,,,Match,,,,0.469080862,-0.127070158,,
1048,,,Match,,,,0.469080862,-0.085156287,,
1049,,,Match,,,,0.469080862,-0.043242416,,
1050,,,Match,,,,0.469080862,-0.001328545,,
